,Title,Year,tomatoMeter,tomatoRating,tomatoReviews,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,imdbRating,imdbVotes,imdbID,Awards,Genre,Language,Country,Director,Rated,Runtime,Actors,Writer,Award_count,Noms_count,Noms+Awards,PrimaryLanguage,PrimaryCountry,PrimaryLangFixed,Crime,Drama,Thriller,Action,Adventure,Film_Noir,Mystery,Comedy,Family,Horror,Sci_Fi,Romance,Music,Fantasy,Western,War,Sport,History,Biography
0,12,2007,76.0,6.8,58.0,83.0,3.5,47307.0,7.8,11741.0,tt0488478,Nominated for 1 Oscar. Another 5 wins & 5 nominations.,"Crime, Drama, Thriller","Russian, Chechen",Russia,Nikita Mikhalkov,PG-13,159.0,"Sergey Makovetskiy, Nikita Mikhalkov, Sergey Garmash, Valentin Gaft","Nikita Mikhalkov, Aleksandr Novototskiy-Vlasov, Vladimir Moiseenko",5,6,11,Russian,Russia,Russian,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,2010,8.0,3.8,13.0,34.0,2.9,5584.0,6.1,35018.0,tt0798817,1 win.,"Drama, Thriller",English,USA,Géla Babluani,R,91.0,"Sam Riley, Alice Barrett, Gaby Hoffmann, Jason Statham","Géla Babluani (screenplay), Greg Pruss (screenplay), Géla Babluani (screenplay)",1,0,1,English,USA,English,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13 Assassins,2010,96.0,8.0,120.0,89.0,4.1,23326.0,7.6,51692.0,tt1436045,14 wins & 27 nominations.,"Action, Adventure, Drama",Japanese,"Japan, UK",Takashi Miike,R,141.0,"Kôji Yakusho, Takayuki Yamada, Yûsuke Iseya, Ikki Sawamura","Kaneo Ikegami (based on a screenplay by), Daisuke Tengan (screenplay)",14,27,41,Japanese,Japan,Japanese,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,The 13th Letter,1951,83.0,7.0,6.0,,,117.0,6.6,209.0,tt0043251,N/A,"Film-Noir, Mystery",English,USA,Otto Preminger,N/A,85.0,"Linda Darnell, Charles Boyer, Michael Rennie, Constance Smith","Howard Koch (screen play), Louis Chavance (story ""Le Corbeau"")",0,0,0,English,USA,English,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,101 Dalmatians,1996,38.0,5.3,34.0,40.0,2.9,624949.0,5.6,76920.0,tt0115433,Nominated for 1 Golden Globe. Another 3 wins & 9 nominations.,"Adventure, Comedy, Family","English, Spanish",USA,Stephen Herek,G,103.0,"Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright","Dodie Smith (novel), John Hughes (screenplay)",3,10,13,English,USA,English,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5,2001 Maniacs,2005,,,,47.0,3.1,9578.0,5.4,10538.0,tt0264323,1 nomination.,"Comedy, Horror",English,USA,Tim Sullivan,R,87.0,"Robert Englund, Lin Shaye, Giuseppe Andrews, Jay Gillespie","Chris Kobin, Tim Sullivan",0,1,1,English,USA,English,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6,3:10 to Yuma,2007,89.0,7.5,213.0,86.0,3.8,393514.0,7.7,241945.0,tt0381849,Nominated for 2 Oscars. Another 3 wins & 30 nominations.,"Adventure, Crime, Drama","English, Chinese",USA,James Mangold,R,122.0,"Russell Crowe, Christian Bale, Logan Lerman, Dallas Roberts","Halsted Welles (screenplay), Michael Brandt (screenplay), Derek Haas (screenplay), Elmore Leonard (short story)",3,32,35,English,USA,English,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Abbott and Costello Meet the Invisible Man,1951,80.0,5.8,10.0,64.0,3.5,823.0,7.0,3588.0,tt0043255,N/A,"Comedy, Horror, Sci-Fi",English,USA,Charles Lamont,PASSED,82.0,"Bud Abbott, Lou Costello, Nancy Guild, Arthur Franz","Hugh Wedlock Jr. (story), Howard Snyder (story), Robert Lees (screenplay), Frederic I. Rinaldo (screenplay), John Grant (screenplay), H.G. Wells (story ""The Invisible Man"")",0,0,0,English,USA,English,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
8,About Last Night,2014,69.0,6.0,94.0,65.0,3.6,33429.0,6.1,17534.0,tt1826590,1 nomination.,"Comedy, Romance",English,USA,Steve Pink,R,100.0,"Kevin Hart, Michael Ealy, Regina Hall, Joy Bryant","Leslye Headland (screenplay), Tim Kazurinsky (based on the screenplay by), Denise DeClue (based on the screenplay by), David Mamet (based upon ""Sexual Perversity in Chicago"" by)",0,1,1,English,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
9,Adorable,1933,,,,,,,6.3,69.0,tt0023740,N/A,"Musical, Comedy, Romance",English,USA,William Dieterle,APPROVED,88.0,"Janet Gaynor, Henri Garat, C. Aubrey Smith, Herbert Mundin","Paul Frank (story ""Ihre Hoheit Befiehlt""), Billy Wilder (story ""Ihre Hoheit Befiehlt""), George Marion Jr. (screenplay), Jane Storm (screenplay)",0,0,0,English,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
