,Title_orig,Year_orig,imdbRating_orig,imdbVotes_orig,Runtime_orig,Award_count_orig,Noms_count_orig,Noms+Awards_orig,PrimaryCountry_orig,PrimaryLangFixed_orig,Crime_orig,Drama_orig,Thriller_orig,Action_orig,Adventure_orig,Film_Noir_orig,Mystery_orig,Comedy_orig,Family_orig,Horror_orig,Sci_Fi_orig,Romance_orig,Music_orig,Fantasy_orig,Western_orig,War_orig,Sport_orig,History_orig,Biography_orig,Title_remake,Year_remake,imdbRating_remake,imdbVotes_remake,Runtime_remake,Award_count_remake,Noms_count_remake,Noms+Awards_remake,PrimaryCountry_remake,PrimaryLangFixed_remake,Crime_remake,Drama_remake,Thriller_remake,Action_remake,Adventure_remake,Film_Noir_remake,Mystery_remake,Comedy_remake,Family_remake,Horror_remake,Sci_Fi_remake,Romance_remake,Music_remake,Fantasy_remake,Western_remake,War_remake,Sport_remake,History_remake,Biography_remake,SameLang,SameCountry,YearDiff
0,12 Angry Men,1957,8.9,467692.0,96.0,16,11,27,USA,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2007,7.8,11741.0,159.0,5,6,11,Russia,Russian,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
1,13 Tzameti,2005,7.4,14918.0,93.0,10,3,13,France,French,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2010,6.1,35018.0,91.0,1,0,1,USA,English,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2,Jûsan-nin no shikaku,1963,7.6,528.0,125.0,0,0,0,Japan,Japanese,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13 Assassins,2010,7.6,51692.0,141.0,14,27,41,Japan,Japanese,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,47
3,The Raven,1943,7.8,6440.0,92.0,0,0,0,France,French,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,The 13th Letter,1951,6.6,209.0,85.0,0,0,0,USA,English,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
4,101 Dalmatians,1961,7.2,115730.0,79.0,1,2,3,USA,English,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,101 Dalmatians,1996,5.6,76920.0,103.0,3,10,13,USA,English,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,35
5,Two Thousand Maniacs!,1964,5.9,3252.0,83.0,0,0,0,USA,English,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2001 Maniacs,2005,5.4,10538.0,87.0,0,1,1,USA,English,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,41
6,3:10 to Yuma,1957,7.6,14663.0,92.0,1,3,4,USA,English,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3:10 to Yuma,2007,7.7,241945.0,122.0,3,32,35,USA,English,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50
7,The Invisible Man Returns,1940,6.5,2135.0,81.0,0,2,2,USA,English,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Abbott and Costello Meet the Invisible Man,1951,7.0,3588.0,82.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,11
8,About Last Night...,1986,6.1,11698.0,113.0,1,0,1,USA,English,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,About Last Night,2014,6.1,17534.0,100.0,0,1,1,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,28
9,Her Grace Commands,1931,6.9,28.0,96.0,0,0,0,Germany,German,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Adorable,1933,6.3,69.0,88.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2
10,Love Affair,1939,7.4,3129.0,88.0,0,0,0,USA,English,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,An Affair to Remember,1957,7.6,22311.0,115.0,2,6,8,USA,English,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,18
11,Out of the Past,1947,8.1,23830.0,97.0,1,0,1,USA,English,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Against All Odds,1984,5.9,8195.0,128.0,2,3,5,USA,English,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37
12,Alfie,1966,7.1,10807.0,114.0,7,22,29,UK,English,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Alfie,2004,6.2,44018.0,103.0,6,7,13,UK,English,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,38
13,Pépé le Moko,1937,7.8,4725.0,94.0,2,0,2,France,French,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Algiers,1938,6.9,1772.0,96.0,0,5,5,USA,English,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14,A Guy Named Joe,1943,7.0,1593.0,120.0,0,0,0,USA,English,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Always,1989,6.4,22689.0,122.0,0,2,2,USA,English,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,46
15,The Amityville Horror,1979,6.2,28313.0,117.0,0,8,8,USA,English,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,The Amityville Horror,2005,6.0,83118.0,90.0,2,4,6,USA,English,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,26
16,...And God Created Woman,1956,6.3,5557.0,90.0,0,1,1,France,French,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,And God Created Woman,1988,4.2,1444.0,100.0,0,1,1,USA,English,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,32
17,And Soon the Darkness,1970,6.7,1933.0,94.0,0,0,0,UK,English,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,And Soon the Darkness,2010,5.2,13998.0,91.0,0,0,0,USA,English,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40
18,Angels in the Outfield,1951,7.1,1597.0,99.0,0,1,1,USA,English,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,Angels in the Outfield,1994,6.0,22673.0,102.0,1,4,5,USA,English,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,43
19,Angel on My Shoulder,1946,6.9,1809.0,100.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,Angel on My Shoulder,1980,6.6,144.0,100.0,0,0,0,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,34
20,Annie,1982,6.5,31164.0,127.0,2,13,15,USA,English,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Annie,2014,5.3,26024.0,118.0,3,12,15,USA,English,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,32
21,Thirupaachi,2005,5.6,1770.0,,0,0,0,India,Tamil,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Annavaram,2006,4.8,629.0,,0,0,0,India,Telugu,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
22,Duck Soup,1927,6.7,574.0,20.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Another Fine Mess,1930,7.5,1411.0,28.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3
23,Antropophagus,1980,5.4,3848.0,90.0,0,0,0,Italy,Italian,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Anthropophagous 2000,1999,3.8,261.0,80.0,0,0,0,Germany,German,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19
24,April Fool's Day,1986,6.2,10853.0,89.0,0,0,0,USA,English,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,April Fool's Day,2008,3.7,3279.0,91.0,0,0,0,USA,English,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,22
25,Manichithrathazhu,1993,8.7,2732.0,169.0,2,0,2,India,Malayalam,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,Aapthamitra,2004,7.3,269.0,,4,0,4,India,Kannada,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
26,Arch of Triumph,1948,6.4,1052.0,120.0,0,0,0,USA,English,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Arch of Triumph,1984,5.5,401.0,93.0,0,0,0,UK,English,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,36
27,The Arena,1974,5.4,719.0,83.0,0,0,0,Italy,English,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Arena,2001,2.7,543.0,92.0,0,1,1,Russia,English,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27
