,title,year,director
0,12,2007,Nikita Mikhalkov
1,13,2010,Géla Babluani
2,13 Assassins,2010,Takashi Miike
3,The 13th Letter,1951,Otto Preminger
4,101 Dalmatians,1996,Stephen Herek
5,2001 Maniacs,2005,Tim Sullivan
6,3:10 to Yuma,2007,James Mangold
7,Abbott and Costello Meet the Invisible Man,1951,Charles Lamont
8,About Last Night,2014,Steve Pink
9,Adorable,1933,William Dieterle
10,An Affair to Remember,1957,Leo McCarey
11,Against All Odds,1984,Taylor Hackford
12,Alfie,2004,Charles Shyer
13,Algiers,1938,John Cromwell
14,Always,1989,Steven Spielberg
15,The Amityville Horror,2005,Andrew Douglas
16,And God Created Woman,1988,Roger Vadim
17,And Soon the Darkness,2010,Marcos Efron
18,Angels in the Outfield,1994,William Dear
19,Angel on My Shoulder,1980,John Berry
20,Annie,2014,Will Gluck
21,Annavaram,2006,Bhimaneni Srinivas Rao
22,Another Fine Mess,1930,James Parrott
23,Anthropophagous 2000,1999,Andreas Schnaas
24,April Fool's Day,2008,Mitchell Altieri
25,Aapthamitra,2004,P. Vasu
26,Arch of Triumph,1984,Waris Hussein
27,The Arena,2001,Timur Bekmambetov
28,Arthur,2011,Jason Winer
29,Assault on Precinct 13,2005,Jean-François Richet
30,Attack of the 50 Ft. Woman,1993,Christopher Guest
31,The Bachelor,1999,Gary Sinyor
32,Bachelor Mother,1939,Garson Kanin
33,Bad News Bears,2005,Richard Linklater
34,The Ballad of Narayama,1983,Shohei Imamura
35,The Bad Seed,1985,Paul Wendkos
36,Bangkok Dangerous,2008,The Pang Brothers
37,The Magnificent Seven,1960,John Sturges
38,The Battle of the Sexes,1928,D. W. Griffith
39,The Beat that My Heart Skipped,2005,Jacques Audiard
40,Beau Geste,1939,William A. Wellman
41,Beauty and the Beast,2017,Bill Condon
42,Bedazzled,2000,Harold Ramis
43,Deaf Sam-ryong,1964,Shin Sang-ok
44,Beyond a Reasonable Doubt,2009,Peter Hyams
45,The Big Show,1961,James B. Clark
46,The Big Stampede,1932,Tenny Wright
47,Billy Jack Goes to Washington,1977,Tom Laughlin
48,The Birdcage,1996,Mike Nichols
49,Black Caesar,1973,Larry Cohen
50,Black Christmas,2006,Glen Morgan
51,Blame it on Rio,1984,Stanley Donen
52,The Blob,1988,Chuck Russell
53,Blood Diner,1987,Jackie Kong
54,The Blue Angel,1959,Edward Dmytryk
55,Bored of Education,1936,Gordon Douglas
56,Born Yesterday,1993,Luis Mandoki
57,Boudu,2005,Gérard Jugnot
58,The Boy Cried Murder,1966,George P. Breakston
59,Breathless,1983,Jim McBride
60,Bride Wars,2015,Tony Chan
61,Brian's Song,2001,John Gray
62,Brothers,2009,Jim Sheridan
63,A Bucket of Blood,1995,Michael McDonald
64,Buddy Buddy,1981,Billy Wilder
65,Bundle of Joy,1956,Norman Taurog
66,The Burmese Harp,1985,Kon Ichikawa
67,The Cabinet of Dr. Caligari,2005,David Lee Fisher
68,Cape Fear,1991,Martin Scorsese
69,The Captain,1971,Kurt Hoffmann
70,Carnival of Souls,1998,Adam Grossman & Ian Kessner
71,Carrie,2013,Kimberly Peirce
72,The Cat and the Canary,1939,Elliott Nugent
73,Cat People,1982,Paul Schrader
74,Catch That Kid,2004,Bart Freundlich
75,The Champ,1979,Franco Zeffirelli
76,Chickens Come Home,1931,Hal Roach
77,The Children's Hour,1961,William Wyler
78,Chloe,2009,Atom Egoyan
79,City of Angels,1998,Brad Silberling
80,Clash of the Titans,2010,Louis Leterrier
81,Classmates,2007,K. Vijaya Bhaskar
82,Cloak & Dagger,1984,Richard Franklin
83,Colorado Territory,1949,Raoul Walsh
84,The Computer Wore Tennis Shoes,1995,Peyton Reed
85,Confession,1937,Joe May
86,The Counter Jumper,1922,Larry Semon
87,The Countess of Monte Cristo,1948,Fred de Cordova
88,Cousins,1989,Joel Schumacher
89,Crackers,1984,Louis Malle
90,The Crazies,2010,Breck Eisner
91,Crime School,1938,Lewis Seiler
92,Criminal,2004,Gregory Jacobs
93,D.O.A.,1988,Annabel Jankel
94,Dark Mirror,1984,Richard Lang
95,Dark Victory,1976,Robert Butler
96,Dark Water,2005,Walter Salles
97,Dawn of the Dead,2004,Zack Snyder
